"--Please Select--","--Lūdzu, izvēlieties--"
"API Login ID","API Login ID"
"Accepted Currency","Accepted Currency"
"Amount of %s approved by payment gateway. Transaction ID: ""%s"".","Amount of %s approved by payment gateway. Transaction ID: ""%s""."
"Authorize.net Direct Post","Authorize.net Direct Post"
"Card Verification Number","CSC/CVV kods"
"Card Verification Number Visual Reference","Šis ir CSC/CVV kods"
"Close","Aizvērt"
"Credit Card Information","Norēķinu kartes dati"
"Credit Card Number","Norēķinu kartes numurs"
"Credit Card Type","Norēķinu kartes veids"
"Credit Card Types","Norēķinu karšu veidi"
"Credit Card Verification","Norēķinu kartes pārbaude"
"Debug","Debug"
"Email Customer","Email Customer"
"Enabled","Enabled"
"Expiration Date","Kartes derīguma termiņš"
"Gateway URL","Gateway URL"
"Maximum Order Total","Maximum Order Total"
"Merchant MD5","Merchant MD5"
"Merchant's Email","Merchant's Email"
"Minimum Order Total","Minimum Order Total"
"New Order Status","New Order Status"
"Order saving error: %s","Order saving error: %s"
"Payment Action","Payment Action"
"Payment authorization error.","Payment authorization error."
"Payment authorization error. Transacion id is empty.","Payment authorization error. Transacion id is empty."
"Payment error. Order was not found.","Payment error. Order was not found."
"Payment error. Paid amount doesn\'t match the order amount.","Payment error. Paid amount doesn\'t match the order amount."
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Please, choose payment method","Lūdzu, izvēlieties norēķina veidu"
"Response hash validation failed. Transaction declined.","Response hash validation failed. Transaction declined."
"Sort Order","Sort Order"
"Test Mode","Test Mode"
"The order has been created.","The order has been created."
"There was an error processing your order. Please contact us or try again later.","There was an error processing your order. Please contact us or try again later."
"Title","Title"
"Transaction Key","Transaction Key"
"What is this?","Kas tas ir?"
"You will be required to enter your payment details before you place an order.","You will be required to enter your payment details before you place an order."
