"Add","Add"
"Add New Row","Add New Row"
"Add links and samples to downloadable product","Add links and samples to downloadable product"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'.","Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'."
"An error occurred while getting the requested content.","Pieprasījuma laikā radās kļūda."
"An error occurred while getting the requested content. Please contact the store owner.","Pieprasījuma laikā radās kļūda. Lūdzu, sazinieties ar mums."
"An error occurred while saving the file(s).","Saglabājot failu(s), radās kļūda"
"Availability:","Pieejamība:"
"Back","Atpakaļ"
"Canceled","Atcelts"
"Cannot connect to remote host, error: %s.","Cannot connect to remote host, error: %s."
"Catalog Product View (Downloadable)","Catalog Product View (Downloadable)"
"Category API","Category API"
"Customer My Account Downloadable Items","Customer My Account Downloadable Items"
"Date","Datums"
"Default Link Title","Default Link Title"
"Default Maximum Number of Downloads","Default Maximum Number of Downloads"
"Default Sample Title","Default Sample Title"
"Delete","Dzēst"
"Disable Guest Checkout if Cart Contains Downloadable Items","Disable Guest Checkout if Cart Contains Downloadable Items"
"Downloadable Information","Downloadable Information"
"Downloadable Product","Downloadable Product"
"Downloadable Product Options","Downloadable Product Options"
"Downloadable Product Section","Downloadable Product Section"
"Edit","Labot"
"Edit item parameters","Edit item parameters"
"Excl. Tax","Bez PVN"
"File","File"
"From:","No:"
"Gift Message","Gift Message"
"Go to <a href=""%s"">My Downloadable Products</a>","Go to <a href=""%s"">My Downloadable Products</a>"
"Guest checkout will only work with shareable.","Guest checkout will only work with shareable."
"In stock","Pieejams"
"Incl. Tax","Ar PVN"
"Invalid download URL host.","Invalid download URL host."
"Invalid download URL scheme.","Invalid download URL scheme."
"Invalid download link type.","Invalid download link type."
"Invoiced","Izrakstīts rēķins"
"Links can be purchased separately","Links can be purchased separately"
"List","Saraksts"
"Max. Downloads","Max. Downloads"
"Message:","Message:"
"Move","Pārcelt"
"My Downloadable Products","Mani lejuplādējamie produkti"
"Open Links in New Window","Open Links in New Window"
"Order #","Pasūtījuma #"
"Order Item Status to Enable Downloads","Order Item Status to Enable Downloads"
"Order id cannot be null","Order id cannot be null"
"Order item id cannot be null","Order item id cannot be null"
"Ordered","Pasūtīts"
"Out of stock","Nav pieejams"
"Pending","Gaida"
"Please log in to download your product or purchase <a href=""%s"">%s</a>.","Lūdzu, autorizējieties, lai lejuplādētu preci vai iegādātos <a href=""%s"">%s</a>"
"Please log in to download your product.","Lūdzu, autorizējieties, lai lejuplādētu preci"
"Please set resource file and link type.","Please set resource file and link type."
"Please specify product link(s).","Please specify product link(s)."
"Price","Cena"
"Product downloadable links","Preces lejupielādes saites"
"Qty","Daudzums"
"Refunded","Atlīdzināts"
"Remaining Downloads","Atlikušās lejupielādes"
"Remove","Dzēst"
"Remove Item","Dzēst"
"Remove links and samples from downloadable product","Remove links and samples from downloadable product"
"Requested link does not exist.","Saite neeksistē."
"Retrieve links and samples list from downloadable product","Retrieve links and samples list from downloadable product"
"Sample","Paraugs"
"See price before order confirmation.","See price before order confirmation."
"Shareable","Shareable"
"Shipped","Nosūtīts"
"Sorry, there was an error getting requested content. Please contact the store owner.","Atvainojiet, gatavojot pieprasījumu, notikusi kļūda. Lūdzu, sazinieties ar mums."
"Sort Order","Sort Order"
"Start Download","Sākt lejupielādi"
"Status","Statuss"
"The file does not exist.","Fails neeksistē"
"The link has expired.","Saiei beidzies derīguma termiņš"
"The link is not available.","Saite nav pieejama"
"There are files that were selected but not uploaded yet. Please upload or remove them first","There are files that were selected but not uploaded yet. Please upload or remove them first"
"Title","Nosaukums"
"To:","Kam:"
"U","U"
"Unlimited","Neierobežots"
"Use Content-Disposition","Use Content-Disposition"
"Use Default Value","Use Default Value"
"View Order","Apskatīt pasūtījumu"
"What's this?","Kas tas ir?"
"You have not purchased any downloadable products yet.","Jūs neesat iegādājies nevienu lejupielādējamu produktu"
"attachment","pielikums"
"download","lejupielāde"
"inline","inline"
"sample","paraugs"
