"%s - Discounts and Coupons","%s - atlaides un kuponi"
"%s - Special Products","%s - akcijas preces"
"%s RSS Feed","%s RSS Feed"
"%s has reached a quantity of %s.","%s has reached a quantity of %s."
"%s\'s Wishlist","%s\'s vēlmju saraksts"
"Cannot retrieve the wishlist","Cannot retrieve the wishlist"
"Catalog","Katalogs"
"Category Feeds","Category Feeds"
"Click for price","Click for price"
"Comment: %s<br/>","Komentārs: %s<br/>"
"Coupons/Discounts","Kuponi/atlaides"
"Current Status: %s<br/>","Current Status: %s<br/>"
"Customer Name: %s","Klienta vārds: %s"
"Customer Order Status Notification","Customer Order Status Notification"
"Details for %s #%s","Details for %s #%s"
"Discount","Atlaide"
"Discount (%s)","Atlaide (%s)"
"Enable RSS","Enable RSS"
"Error in processing xml. %s","Error in processing xml. %s"
"From:","No:"
"Get Feed","Get Feed"
"Gift Message","Gift Message"
"Grand Total","Summa kopā" 
"Low Stock Products","Low Stock Products"
"Message:","Ziņa:"
"Miscellaneous Feeds","Miscellaneous Feeds"
"New Orders","Jauni pasūtījumi"
"New Products","Jaunas preces"
"New Products from %s","New Products from %s"
"Notified Date: %s<br/>","Notified Date: %s<br/>"
"Order # %s Notification(s)","Order # %s Notification(s)"
"Order #%s created at %s","Order #%s created at %s"
"Pending product review(s)","Pending product review(s)"
"Product: ""%s"" review By: %s","Product: ""%s"" review By: %s"
"Product: <a href=""%s"">%s</a> <br/>","Product: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","Products tagged with %s"
"Purchased From: %s","Purchased From: %s"
"RSS","RSS"
"RSS Feeds","RSS Feeds"
"RSS Feeds List","RSS Feeds List"
"RSS Feeds Section","RSS Feeds Section"
"Review: %s <br/>","Review: %s <br/>"
"Rss Config","Rss Config"
"Shipping &amp; Handling","Shipping &amp; Handling"
"Special Products","Akcijas preces"
"Store: %s <br/>","Store: %s <br/>"
"Subtotal","Summa"
"Summary of review: %s <br/>","Summary of review: %s <br/>"
"Tags Products","Tags Products"
"Tax","PVN"
"There are no Rss Feeds","There are no Rss Feeds"
"To:","Kam:"
"Top Level Category","Top Level Category"
"Total: %s<br/>","Kopā: %s<br/>"
"Wishlist","Vēlmju saraksts"
"click <a href=""%s"">here</a> to view the review","spied <a href=""%s"">šeit</a>, lai lasītu atsauksmi"
