"Add Recipient","Pievienot adresātu"
"Allow for Guests","Allow for Guests"
"An invalid email address for recipient was entered.","Tika ievadīta kļūdaina epasta adrese."
"At least one recipient must be specified.","Izvēlieties vismaz vienu adresātu."
"Back","Atpakaļ"
"Catalog Product Email to a Friend","Catalog Product Email to a Friend"
"Email Address","Epasta adrese"
"Email Address:","Epasta adrese:"
"Email Templates","Email Templates"
"Email to a Friend","Nosūtīt draugam"
"Email:","Epasts:"
"Enabled","Enabled"
"Invalid Sender Information","Kļūdaina sūtītāja informācija"
"Invalid sender email.","Kļūdaina sūtītāja epasta adrese."
"Limit Sending By","Limit Sending By"
"Max Products Sent in 1 Hour","Max Products Sent in 1 Hour"
"Max Recipients","Max Recipients"
"Maximum %d email addresses allowed.","Maximum %d email addresses allowed."
"Message:","Ziņa:"
"Name","Vārds"
"Name:","Vārds:"
"No more than %d emails can be sent at a time.","Vienā reizē nevar nosūtīt vairāk kā %d epastus."
"Please define a correct Cookie instance.","Please define a correct Cookie instance."
"Please define a correct Product instance.","Please define a correct Product instance."
"Please define the correct Sender information.","Please define the correct Sender information."
"Recipient:","Adresāts:"
"Remove Email","Dzēst epasta adresi"
"Select Email Template","Select Email Template"
"Send Email","Sūtīt"
"Send product to a friend","Send product to a friend"
"Sender:","Sūtītājs:"
"Some emails were not sent.","Dažus epastus neizdevās nosūtīt."
"The link to a friend was sent.","Saite draugam tika nosūtīta."
"The message cannot be empty.","Šis ir obligāti aizpildāms lauks"
"The messages cannot be sent more than %d times in an hour","Nevar nosūtīt vairāk kā %d epastus stundas laikā"
"The sender name cannot be empty.","Šis ir obligāti aizpildāms lauks"
"There were some problems with the data.","There were some problems with the data."
"You have exceeded limit of %d sends in an hour","Jūsu limits %d epasti stundā ir izsmelts."
